project,filename,journey_type,journey_kind,brand_name,size_kb,base64_image_count,base64_kb,css_kb,js_kb,step_count,screen_count,colors,step_labels,message_samples
Adani Wilmar,awl_automated_collections.html,automated_collections,canonical,Adani Wilmar,202,12,102,14,5,0,0,"{""brand"": ""#E30613"", ""brand-l"": ""#046287"", ""accent"": ""#1C1C1C""}",,
Adani Wilmar,awl_campaigns_queries.html,campaigns_queries,canonical,Adani Wilmar,934,13,839,25,9,3,9,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Campaigns &amp; Queries | Scheme &amp; Product Queries | Scheme &amp; Loyalty Queries | Screen 1 · Diwali Festive Campaign | Screen 2 · Product Category Selection | Screen 3 · Price List Response | Screen 1 · Edible Oil Scheme | Screen 2 · Retailer Asks — AI Typing | Screen 3 · AI Explains Scheme | Screen 1 · Retailer Scheme Query | Screen 2 · Retailer Scheme Query | Screen 3 · Retailer Scheme Query,View Products || Price List || Diwali Scheme || Scheme thoda detail mein batao || Scheme thoda detail mein batao
Adani Wilmar,awl_dt_fulfillment_payment.html,dt_fulfillment_payment,canonical,Adani Wilmar,469,18,292,25,9,5,15,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Distributor Confirmation | Order to Invoice | Invoice &amp; Payment | Collect Digital Orders | Collect Payments | Screen 1 · DT Receives Order | Screen 2 · DT Order Review | Screen 3 · DT Accepts Order | Screen 1 · Distributor Menu | Screen 2 · Orders to Process | Screen 3 · Upload Invoice | Screen 1 · Invoice Shared | Screen 2 · Payment Reminder | Screen 3 · Payment Received | Screen 1 · Distributor Menu | Screen 2 · Select Retailers | Screen 3 · Order Nudge to Retailer | Screen 1 · Distributor Menu | Screen 2 · Pending Invoices | Screen 3 · Payment Reminder,"Order accepted ✅ All items verified. Dispatching by 19 April 2026. || 
                    Hello  || 
                    Hello  || 
                    Hello "
Adani Wilmar,awl_field_ops_expense.html,field_ops_expense,canonical,Adani Wilmar,8207,24,7850,72,16,15,24,"{""brand"": ""#E30613"", ""brand-dark"": ""#B30510"", ""accent"": ""#1C1C1C""}",Admin Creates Group | ZoAi Capability Panel | Start Day &amp; Clock-In | Request Plan | Travel &amp; Check-In | Order Capture &amp; Review | Order Submit &amp; Notify | Competitor Insights | Realtime ASM Communication | PWA App Installation | Field Ops Command Center | DSR Files Expense Claim | Manager Approval Queue | Manager Reviews &amp; Approves | DSR Receives Notifications | Screen 1 · Create Group | Screen 2 · Add Members | Screen 3 · Group Created | Screen 1 · Clock-In Command | Screen 2 · Clock-In Confirmed | Screen 1 · Plan Command | Screen 2 · Visit List | Screen 1 · Check-In Command | Screen 2 · Check-In Confirmed | Screen 1 · Order Capture | Screen 2 · Order Created | Screen 1 · PWA Order Review | Screen 2 · Retailer DM (Template) | Screen 3 · Group · Deepak's View | Screen 1 · Notes Capture | Screen 2 · Field Activity Log | Screen 1 · Competitor Follow-Up | Screen 2 · Outstanding Reminder &amp; Ledger | Screen 1 · PWA Hamburger Menu | Screen 2 · App Added to Home Screen | Screen 3 · Works Offline | Screen 4 · Beat Plan — Today's Visits | Screen 1 · Activity History | Screen 2 · Team Performance Report,
Adani Wilmar,awl_index.html,,hub,Adani Wilmar,24,1,8,6,0,0,0,{},,
Adani Wilmar,awl_order_to_cash.html,order_to_cash,canonical,Adani Wilmar,1866,24,1760,25,8,3,9,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Self Service Ordering | Catalog Browse &amp; Order | AI Order Capture | Screen 1 · Self Service Menu | Screen 2 · Browse Products | Screen 3 · Product Selection | Screen 1 · Browse Products Catalog | Screen 2 · Cart Review | Screen 3 · Order Received | Screen 1 · Retailer Sends Order Note | Screen 2 · Draft Order | Screen 3 · Cart &amp; Checkout,Register Now || Open Menu || View Products || Please process this order 🙏 || 📋 Received your order note! ZoTok AI is reading it now...
Adani Wilmar,awl_retailer_activation.html,retailer_activation,canonical,Adani Wilmar,166,6,91,27,8,2,5,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Retailer Onboarding | Welcome &amp; Self Service | Screen 1 · Activation Campaign | Screen 2 · Retailer Registration | Screen 3 · Application Under Review | Screen 3 · Registration Successful | Screen 4 · Self Service Menu,Register Now || Open Menu
Adani Wilmar,awl_retailer_loyalty.html,retailer_loyalty,canonical,AWL Retail Connect,107,2,25,34,5,12,0,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Scheme Communication | Retailer Home Menu | Invoice Upload Flow | Invoice Processing | Invoice Acknowledgment | Scheme Progress Update | Milestone Achievement | Invoice Ledger View | Earnings Dashboard | Engagement Nudges | Validation &amp; Exceptions | Brand Intelligence | Screen 1 · Scheme Communication | Screen 1 · Retailer Menu | Screen 1 · Invoice Upload | Screen 2 · Upload Guidance | Screen 1 · Processing State | Screen 1 · Invoice Acknowledgment | Screen 1 · Scheme Progress | Screen 1 · Milestone Achievement | Screen 1 · Invoice Ledger | Screen 1 · Earnings Dashboard | Screen 1 · Engagement Nudge,
Atharva,journey_field_ops.html,field_ops_expense,inferred,Atharva Food Products,7144,5,6908,35,13,11,24,"{""brand"": ""#B62127"", ""brand-dark"": ""#8a0e13"", ""accent"": ""#C8860A""}",Admin Creates Group | ZoAi Capability Panel | Start Day &amp; Clock-In | Request Plan | Travel &amp; Check-In | Order Capture &amp; Review | Order Submit &amp; Notify | Competitor Insights | Realtime ASM Communication | PWA App Installation | Field Ops Command Center | Screen 1 · Create Group | Screen 2 · Add Members | Screen 3 · Group Created | Screen 1 · Clock-In Command | Screen 2 · Clock-In Confirmed | Screen 1 · Plan Command | Screen 2 · Visit List | Screen 1 · Check-In Command | Screen 2 · Check-In Confirmed | Screen 1 · Order Capture | Screen 2 · Order Created | Screen 1 · PWA Order Review | Screen 2 · Retailer DM (Template) | Screen 3 · Group · Raju's View | Screen 1 · Notes Capture | Screen 2 · Field Activity Log | Screen 1 · Competitor Follow-Up | Screen 2 · Outstanding Reminder &amp; Ledger | Screen 1 · PWA Hamburger Menu | Screen 2 · App Added to Home Screen | Screen 3 · Works Offline | Screen 4 · Beat Plan — Today's Visits | Screen 1 · Activity History | Screen 2 · Team Performance Report,
Banas_Diary,index.html,,hub,Banas Dairy,12,0,0,5,0,0,0,{},,
